,La liste de schindler,1993,Steven Spielberg," Cracovie, durant la Seconde Guerre mondiale, les soldats allemands forcent les juifs etre parques dans le ghetto de Cracovie. Oskar Schindler est un industriel allemand, membre du parti nazi.","https://images-na.ssl-images-amazon.com/images/I/51FATPKMF4L.jpg"
,Danse avec les loups,1990,Kevin Costner,"Le jeune lieutenant John Dunbar est envoye un poste de reconnaissance dans les immenses plaines du Dakota pendant la guerre de Secession. Il rencontre au cours de l'une de ses missions de reconnaissance le peuple sioux.","https://images-na.ssl-images-amazon.com/images/I/517NEFVKGRL.jpg"
,La ligne verte,1999,Frank Darabont,"En 1935, Paul Edgecombe est gardien-chef au penitencier de Cold Mountain en Louisiane, au bloc E, surnomme la ligne verte, ou sont detenus les condamne a la chaise electrique. Un jour, un nouveau detenu arrive. Il s'agit de John Coffey, un colosse, condamne pour le viol et le meurtre de deux soeurs.","http://www.tomhanks-online.com/files/images/movies/fr/27-La-Ligne-Verte.jpg"
,"Le cercle des poètes disparus",1990,"Peter Weir","Todd Anderson, un garçon plutôt timide, est envoyé dans la prestigieuse académie de Welton, réputée pour être l'une des plus fermes et austres des etats-Unis, l o son frre avait connu de brillantes tudes. C'est dans cette universit qu'il va faire la rencontre d'un professeur de lettres anglaises plutôt étrange, Mr Keating, qui les encourage à toujours refuser l'ordre établi. Les cours de Mr Keating vont bouleverser la vie de l'étudiant réservé et de ses amis...","http://www.aproposdecriture.com/wp-content/uploads/2014/02/le-cercle-des-poetes-disparus-10283_L.gif"
,"Les démons de Jésus",1997,"Bernie Bonvoisin","Les aventures de la famille Jacob, quelques mois avant celle de Mai 68, composée d'un pere alcoolique, d'une mère au foyer, de deux frres arnaqueurs, d'un autre intello, du dernier qui se demande pourquoi il va a l'cole et enfin d'une sur trop belle pour eux.","http://external-images.premiere.fr/var/premiere/storage/images/racine/film/les-demons-de-jesus-149087/1832037-80-fre-FR/Les-Demons-De-Jesus.jpg"
,"L'Etrange Noël de Mr Jack",1994,"Tim Burton"," A revoir","http://p2.storage.canalblog.com/23/26/631435/116496295_o.jpg"
,"Gladiator",2000,"Ridley Scott","","http://www.premiere.fr/sites/default/files/styles/vignette_376_x_500/public/externals/7ead9e370402a8ef23238b46ee008f0b.jpg?itok=rj-1HR5S"
,300,2006,Zack Snyder,"","https://images-na.ssl-images-amazon.com/images/I/51sqdeqXO-L.jpg"
,ocean's twelve,2004,Steven Soderbergh,"","https://static.rogerebert.com/uploads/movie/movie_poster/oceans-twelve-2004/large_4irBEiDC7SpYBuw5z1c7oLfF0EI.jpg"
,Underworld,2003,Len  Wiseman,"Depuis des siecles, deux races immortelles et legendaires les lycans (plus connu sous le nom de loup-garous) et les vampires se livrent un conflit sans merci a l'insu du regard des humains.","https://upload.wikimedia.org/wikipedia/en/5/5a/Underworld2evolution.jpg"
,Dante's Inferno,2010,Victor Cook,"Ce film s'inspire de La Divine Comedie, celebre poeme italien du XIVeme siecle, ecrit par Dante Alighieri. Le heros de ce film va descendre dans les cercles de l'enfer afin de retrouver Beatrice, sa bien-aimee.","http://www.figures.com/forums/attachment.php?attachmentid=3138&d=1265669313"
,Princesse Mononoke,1997,Hayao Miyazaki,"Ashitaka, le prince de la tribu des Emishis, un peuple reclus au nord de Honsh?, est frappe d'une malediction apres avoir tue Nago, un dieu sanglier devenu demon: son bras est anime d'une force surnaturelle mais est ronge par l'entite demoniaque. La chamane du village le dit condamne a mourir et lui conseille de quitter le village afin d'aller chercher a l'ouest la cause de la colere de la nature et l'espoir de trouver la raison de sa malediction.","https://images-na.ssl-images-amazon.com/images/I/51FK7ZVNP4L.jpg"
